query_id,k,recall
6,16,1.0
6,32,1.0
6,64,1.0
6,128,1.0
6,256,1.0
6,512,1.0
6,1024,1.0
27,16,1.0
27,32,1.0
27,64,1.0
27,128,1.0
27,256,1.0
27,512,1.0
27,1024,1.0
37,16,1.0
37,32,1.0
37,64,1.0
37,128,1.0
37,256,1.0
37,512,1.0
37,1024,1.0
3,16,1.0
3,32,1.0
3,64,1.0
3,128,1.0
3,256,1.0
3,512,1.0
3,1024,1.0
49,16,1.0
49,32,1.0
49,64,1.0
49,128,1.0
49,256,1.0
49,512,1.0
49,1024,1.0
43,16,1.0
43,32,1.0
43,64,1.0
43,128,1.0
43,256,1.0
43,512,1.0
43,1024,1.0
2,16,1.0
2,32,1.0
2,64,1.0
2,128,1.0
2,256,1.0
2,512,1.0
2,1024,1.0
