n_pow2,k_pow2,time_ms
14,4,101.839781
14,4,109.907627
14,4,102.618217
14,4,104.377985
14,4,106.812477
14,4,106.931686
14,4,108.820438
15,4,185.898066
15,4,181.487322
15,4,186.356544
15,4,181.314707
15,4,190.918684
15,4,184.551477
15,4,189.169168
16,4,359.641552
16,4,368.016481
16,4,374.236822
16,4,379.274368
16,4,374.012947
16,4,369.906187
16,4,379.477024
17,4,753.586531
17,4,752.791643
17,4,751.841784
17,4,745.988131
17,4,748.724222
17,4,764.817953
17,4,748.931885
18,4,1544.870138
18,4,1553.211689
18,4,1557.083607
18,4,1546.625137
18,4,1539.191723
18,4,1555.653811
18,4,1544.914246
19,4,3251.354218
19,4,3285.089731
19,4,3295.124292
19,4,3306.330204
19,4,3293.950081
19,4,3269.651890
19,4,3288.339615
20,4,6844.245195
20,4,6890.428782
20,4,6838.018417
20,4,6946.712494
20,4,6888.952255
20,4,6918.676615
20,4,6867.884159
17,4,736.324549
17,4,748.783588
17,4,759.802341
17,4,751.217604
17,4,756.642580
17,4,750.139952
17,4,748.512268
17,5,696.858168
17,5,698.856831
17,5,700.960875
17,5,695.788860
17,5,706.823111
17,5,704.985857
17,5,702.528000
17,6,654.069185
17,6,646.752596
17,6,644.583702
17,6,648.479223
17,6,650.672197
17,6,643.484116
17,6,642.875195
17,7,591.875553
17,7,605.666161
17,7,589.733601
17,7,589.561462
17,7,595.684528
17,7,591.522455
17,7,592.364073
17,8,555.732727
17,8,546.997547
17,8,543.141127
17,8,543.310165
17,8,558.017015
17,8,547.841787
17,8,562.043428
17,9,500.115871
17,9,490.650415
17,9,494.328499
17,9,490.287542
17,9,494.728565
17,9,492.329121
17,9,496.128082
17,10,449.046850
17,10,447.149992
17,10,447.574615
17,10,444.093943
17,10,451.926231
17,10,449.987650
17,10,447.106838
